IMAGE_FILE,PRODUCT_ID
post_001.jpg,PROD-001
post_002.jpg,PROD-001
post_013.jpg,PROD-001
post_015.jpg,PROD-001
post_033.jpg,PROD-001
post_034.jpg,PROD-001
post_036.jpg,PROD-001
post_037.jpg,PROD-001
post_038.jpg,PROD-001
post_052.jpg,PROD-001
post_053.jpg,PROD-001
post_054.jpg,PROD-001
post_003.jpg,PROD-002
post_004.jpg,PROD-002
post_017.jpg,PROD-002
post_019.jpg,PROD-002
post_020.jpg,PROD-002
post_025.jpg,PROD-002
post_028.jpg,PROD-002
post_055.jpg,PROD-002
post_056.jpg,PROD-002
post_005.jpg,PROD-003
post_007.jpg,PROD-003
post_008.jpg,PROD-003
post_029.jpg,PROD-003
post_030.jpg,PROD-003
post_045.jpg,PROD-003
post_046.jpg,PROD-003
post_047.jpg,PROD-003
post_048.jpg,PROD-003
post_057.jpg,PROD-003
post_058.jpg,PROD-003
post_009.jpg,PROD-004
post_010.jpg,PROD-004
post_011.jpg,PROD-004
post_012.jpg,PROD-004
post_031.jpg,PROD-004
post_032.jpg,PROD-004
post_039.jpg,PROD-004
post_040.jpg,PROD-004
post_049.jpg,PROD-004
post_051.jpg,PROD-004
post_059.jpg,PROD-004
post_060.jpg,PROD-004
post_018.jpg,PROD-005
post_021.jpg,PROD-005
post_022.jpg,PROD-005
post_023.jpg,PROD-005
post_024.jpg,PROD-005
post_041.jpg,PROD-005
post_042.jpg,PROD-005
post_043.jpg,PROD-005
post_044.jpg,PROD-005
